meta	id	name	mergedname
meta1	ENSG00000238009.6	AL627309.1	AL627309.1
meta1	ENSG00000239945.1	AL627309.3	AL627309.1
meta10	ENSG00000070831.17	CDC42	CDC42
meta10	ENSG00000218510.8	LINC00339	CDC42
meta100	ENSG00000144228.9	SPOPL	SPOPL
meta100	ENSG00000241772.2	AC092620.1	SPOPL
meta101	ENSG00000115221.12	ITGB6	ITGB6
meta101	ENSG00000285155.1	AC092153.1	ITGB6
meta101	ENSG00000285373.2	LINC02478	ITGB6
meta102	ENSG00000136535.15	TBR1	TBR1
meta102	ENSG00000251621.1	AC009487.2	TBR1
meta103	ENSG00000136531.17	SCN2A	SCN2A
meta103	ENSG00000236283.5	AC019197.1	SCN2A
meta104	ENSG00000144362.12	PHOSPHO2	PHOSPHO2_KLHL23
meta104	ENSG00000213160.10	KLHL23	PHOSPHO2_KLHL23
meta105	ENSG00000128710.6	HOXD10	HOXD10_HOXD11
meta105	ENSG00000128713.14	HOXD11	HOXD10_HOXD11
meta106	ENSG00000229337.2	AC079305.4	AC079305.4
meta106	ENSG00000236501.6	AC074286.1	AC079305.4
meta107	ENSG00000116044.16	NFE2L2	NFE2L2
meta107	ENSG00000213963.6	AC019080.1	NFE2L2
meta108	ENSG00000237298.10	TTN-AS1	TTN-AS1
meta108	ENSG00000270956.1	AC009948.3	TTN-AS1
meta109	ENSG00000155657.27	TTN	TTN_CCDC141
meta109	ENSG00000163492.15	CCDC141	TTN_CCDC141
meta11	ENSG00000127423.11	AUNIP	AUNIP
meta11	ENSG00000272478.1	AL020996.3	AUNIP
meta110	ENSG00000162992.3	NEUROD1	NEUROD1_CERKL
meta110	ENSG00000188452.14	CERKL	NEUROD1_CERKL
meta111	ENSG00000138381.10	ASNSD1	ASNSD1_ASDURF
meta111	ENSG00000286053.1	ASDURF	ASNSD1_ASDURF
meta112	ENSG00000173559.14	NABP1	NABP1
meta112	ENSG00000288582.2	AC098872.2	NABP1
meta113	ENSG00000162972.10	MAIP1	MAIP1_C2orf69
meta113	ENSG00000178074.6	C2orf69	MAIP1_C2orf69
